"City","Site","Sampling_date","Country","Location.Site","Month","Season","Green_level","Green_area_coverage","Blue_area_coverage","Temperature","Relative_humidity","Wind_speed_10m","Trap_type","season_multiplier","Host_abundance","Predator_abundance","Mosquito_species","Mosquito_abundance","Biodiversity_index"
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,47.3874648932135,13.7313442230225,6.47,72.94,6.82,"Light_CO2",0.7,43,83,"Aedes aegypti",19,1.004974575344
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,47.3874648932135,13.7313442230225,6.47,72.94,6.82,"Light_CO2",0.7,36,78,"Aedes albopictus",6,1.004974575344
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,47.3874648932135,13.7313442230225,6.47,72.94,6.82,"Light_CO2",0.7,38,78,"Anopheles gambiae",13,1.004974575344
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,63.7467530903639,12.4224663116038,3.68,71.88,4.49,"Light_CO2",0.7,37,70,"Culex quinquefasciatus",6,1.28302529724613
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,63.7467530903639,12.4224663116038,3.68,71.88,4.49,"Light_CO2",0.7,33,92,"Anopheles gambiae",5,1.28302529724613
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,63.7467530903639,12.4224663116038,3.68,71.88,4.49,"Light_CO2",0.7,43,78,"Aedes aegypti",22,1.28302529724613
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,63.7467530903639,12.4224663116038,3.68,71.88,4.49,"Light_CO2",0.7,41,57,"Culex pipiens",5,1.28302529724613
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,63.7467530903639,12.4224663116038,3.68,71.88,4.49,"Light_CO2",0.7,33,62,"Aedes albopictus",2,1.28302529724613
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",1,15.7145937142661,35.0776403173804,8.94,79.07,5.76,"HumanOdor_CO2",0.7,33,64,"Aedes aegypti",9,1.19729696543428
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",1,15.7145937142661,35.0776403173804,8.94,79.07,5.76,"HumanOdor_CO2",0.7,22,61,"Aedes albopictus",1,1.19729696543428
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",1,15.7145937142661,35.0776403173804,8.94,79.07,5.76,"HumanOdor_CO2",0.7,36,48,"Culex pipiens",11,1.19729696543428
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",1,15.7145937142661,35.0776403173804,8.94,79.07,5.76,"HumanOdor_CO2",0.7,40,64,"Culex quinquefasciatus",2,1.19729696543428
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",1,15.7145937142661,35.0776403173804,8.94,79.07,5.76,"HumanOdor_CO2",0.7,21,62,"Anopheles gambiae",1,1.19729696543428
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,87.939637874579,49.0502100177109,16.95,74.07,3.45,"Light_CO2",0.7,67,77,"Aedes aegypti",96,0.331200081922707
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,87.939637874579,49.0502100177109,16.95,74.07,3.45,"Light_CO2",0.7,42,74,"Culex pipiens",11,0.331200081922707
"Rabat","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,18.1241828420665,24.8975858874619,15.39,80.4,6.15,"HumanOdor_CO2",0.7,32,60,"Aedes aegypti",3,0.682908084700472
"Rabat","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,18.1241828420665,24.8975858874619,15.39,80.4,6.15,"HumanOdor_CO2",0.7,41,62,"Culex pipiens",4,0.682908084700472
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,6.5326159066055,39.1291338540614,16.43,70.52,7.01,"HumanOdor_CO2",0.7,39,49,"Aedes aegypti",5,0.598269568585257
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,6.5326159066055,39.1291338540614,16.43,70.52,7.01,"HumanOdor_CO2",0.7,41,60,"Aedes albopictus",2,0.598269568585257
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,62.2429720137734,29.567021343857,9.85,77.11,3.34,"HumanOdor_CO2",0.7,45,78,"Aedes aegypti",2,1.08889993534522
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,62.2429720137734,29.567021343857,9.85,77.11,3.34,"HumanOdor_CO2",0.7,38,66,"Anopheles gambiae",0,1.08889993534522
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,62.2429720137734,29.567021343857,9.85,77.11,3.34,"HumanOdor_CO2",0.7,41,70,"Culex quinquefasciatus",1,1.08889993534522
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,62.2429720137734,29.567021343857,9.85,77.11,3.34,"HumanOdor_CO2",0.7,47,75,"Aedes albopictus",1,1.08889993534522
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,62.2429720137734,29.567021343857,9.85,77.11,3.34,"HumanOdor_CO2",0.7,41,61,"Culex pipiens",6,1.08889993534522
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,50.0415690915193,48.3651056289673,7.54,65.57,5.33,"Light_CO2",0.7,33,62,"Aedes aegypti",11,1.36753054649937
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,50.0415690915193,48.3651056289673,7.54,65.57,5.33,"Light_CO2",0.7,43,69,"Culex quinquefasciatus",15,1.36753054649937
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,50.0415690915193,48.3651056289673,7.54,65.57,5.33,"Light_CO2",0.7,45,62,"Anopheles gambiae",9,1.36753054649937
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,50.0415690915193,48.3651056289673,7.54,65.57,5.33,"Light_CO2",0.7,35,79,"Culex pipiens",2,1.36753054649937
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,50.0415690915193,48.3651056289673,7.54,65.57,5.33,"Light_CO2",0.7,39,67,"Aedes albopictus",2,1.36753054649937
"Montpellier","Site_2",2024-01-01,"France",2,1,"Winter",3,94.0498293553945,40.2523443624377,10.89,69.84,7.4,"Light_CO2",0.7,42,88,"Culex pipiens",18,0.685692568448176
"Montpellier","Site_2",2024-01-01,"France",2,1,"Winter",3,94.0498293553945,40.2523443624377,10.89,69.84,7.4,"Light_CO2",0.7,36,92,"Culex quinquefasciatus",23,0.685692568448176
"Barcelona","Site_2",2024-01-01,"Spain",2,1,"Winter",2,44.1020547127118,27.5314441844821,12.34,74.6,3.87,"HumanOdor_CO2",0.7,41,69,"Culex pipiens",1,0.840271574291357
