"City","Site","Sampling_date","Country","Location.Site","Green_level","Green_area_coverage","Blue_area_coverage","Temperature","Relative_humidity","Wind_speed_10m","Trap_type","Mosquito_species","Mosquito_abundance","Biodiversity_index"
"Utrecht","Site_1",2024-01-01,"Netherlands",1,2,53.44,26.81,23.25,76,4.39,"HumanOdor_CO2","Culex pipiens",11,1.07986019979936
"Utrecht","Site_1",2024-01-01,"Netherlands",1,2,53.44,26.81,23.25,76,4.39,"HumanOdor_CO2","Aedes albopictus",17,1.07986019979936
"Utrecht","Site_1",2024-01-01,"Netherlands",1,2,53.44,26.81,23.25,76,4.39,"HumanOdor_CO2","Anopheles gambiae",17,1.07986019979936
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,2,19.14,7.96,15.42,51.7,4.1,"HumanOdor_CO2","Anopheles gambiae",27,0.617241749730342
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,2,19.14,7.96,15.42,51.7,4.1,"HumanOdor_CO2","Aedes albopictus",12,0.617241749730342
"Montpellier","Site_1",2024-01-01,"France",1,1,39.33,48.15,19.85,73.14,0.61,"HumanOdor_CO2","Aedes albopictus",9,1.33724172753905
"Montpellier","Site_1",2024-01-01,"France",1,1,39.33,48.15,19.85,73.14,0.61,"HumanOdor_CO2","Culex quinquefasciatus",17,1.33724172753905
"Montpellier","Site_1",2024-01-01,"France",1,1,39.33,48.15,19.85,73.14,0.61,"HumanOdor_CO2","Culex pipiens",20,1.33724172753905
"Montpellier","Site_1",2024-01-01,"France",1,1,39.33,48.15,19.85,73.14,0.61,"HumanOdor_CO2","Aedes aegypti",11,1.33724172753905
"Barcelona","Site_1",2024-01-01,"Spain",1,3,73.81,25.48,13.48,42.72,5.13,"HumanOdor_CO2","Aedes aegypti",20,1.59127082836131
"Barcelona","Site_1",2024-01-01,"Spain",1,3,73.81,25.48,13.48,42.72,5.13,"HumanOdor_CO2","Culex pipiens",27,1.59127082836131
"Barcelona","Site_1",2024-01-01,"Spain",1,3,73.81,25.48,13.48,42.72,5.13,"HumanOdor_CO2","Aedes albopictus",32,1.59127082836131
"Barcelona","Site_1",2024-01-01,"Spain",1,3,73.81,25.48,13.48,42.72,5.13,"HumanOdor_CO2","Anopheles gambiae",31,1.59127082836131
"Barcelona","Site_1",2024-01-01,"Spain",1,3,73.81,25.48,13.48,42.72,5.13,"HumanOdor_CO2","Culex quinquefasciatus",21,1.59127082836131
"Rabat","Site_1",2024-01-01,"Morocco",1,1,47.45,27.01,17.79,77.57,4.91,"HumanOdor_CO2","Culex pipiens",20,1.06085691715802
"Rabat","Site_1",2024-01-01,"Morocco",1,1,47.45,27.01,17.79,77.57,4.91,"HumanOdor_CO2","Anopheles gambiae",15,1.06085691715802
"Rabat","Site_1",2024-01-01,"Morocco",1,1,47.45,27.01,17.79,77.57,4.91,"HumanOdor_CO2","Aedes albopictus",10,1.06085691715802
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,75.67,29.22,27.74,50.53,2.18,"Light_CO2","Aedes albopictus",17,1.35622299783935
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,75.67,29.22,27.74,50.53,2.18,"Light_CO2","Culex pipiens",11,1.35622299783935
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,75.67,29.22,27.74,50.53,2.18,"Light_CO2","Anopheles gambiae",20,1.35622299783935
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,75.67,29.22,27.74,50.53,2.18,"Light_CO2","Aedes aegypti",22,1.35622299783935
"Utrecht","Site_2",2024-01-01,"Netherlands",2,2,60.86,28.1,23.26,86.54,4.21,"Light_CO2","Culex pipiens",12,1.04069840792157
"Utrecht","Site_2",2024-01-01,"Netherlands",2,2,60.86,28.1,23.26,86.54,4.21,"Light_CO2","Aedes albopictus",28,1.04069840792157
"Utrecht","Site_2",2024-01-01,"Netherlands",2,2,60.86,28.1,23.26,86.54,4.21,"Light_CO2","Culex quinquefasciatus",26,1.04069840792157
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,2,58.76,20.4,22.43,60.2,5,"HumanOdor_CO2","Anopheles gambiae",19,1.57852998259461
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,2,58.76,20.4,22.43,60.2,5,"HumanOdor_CO2","Aedes albopictus",23,1.57852998259461
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,2,58.76,20.4,22.43,60.2,5,"HumanOdor_CO2","Culex pipiens",16,1.57852998259461
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,2,58.76,20.4,22.43,60.2,5,"HumanOdor_CO2","Culex quinquefasciatus",11,1.57852998259461
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,2,58.76,20.4,22.43,60.2,5,"HumanOdor_CO2","Aedes aegypti",14,1.57852998259461
"Montpellier","Site_2",2024-01-01,"France",2,3,45.9,40.69,17.33,43.85,1.37,"HumanOdor_CO2","Aedes aegypti",13,1.34712288415088
"Montpellier","Site_2",2024-01-01,"France",2,3,45.9,40.69,17.33,43.85,1.37,"HumanOdor_CO2","Culex quinquefasciatus",14,1.34712288415088
"Montpellier","Site_2",2024-01-01,"France",2,3,45.9,40.69,17.33,43.85,1.37,"HumanOdor_CO2","Anopheles gambiae",20,1.34712288415088
"Montpellier","Site_2",2024-01-01,"France",2,3,45.9,40.69,17.33,43.85,1.37,"HumanOdor_CO2","Aedes albopictus",9,1.34712288415088
"Barcelona","Site_2",2024-01-01,"Spain",2,2,78.26,42.56,19.22,78.04,1.7,"Light_CO2","Aedes albopictus",23,0.676951715303828
"Barcelona","Site_2",2024-01-01,"Spain",2,2,78.26,42.56,19.22,78.04,1.7,"Light_CO2","Aedes aegypti",16,0.676951715303828
"Rabat","Site_2",2024-01-01,"Morocco",2,2,75.77,24.11,16.92,81.7,3,"HumanOdor_CO2","Aedes albopictus",15,1.59198778665515
"Rabat","Site_2",2024-01-01,"Morocco",2,2,75.77,24.11,16.92,81.7,3,"HumanOdor_CO2","Aedes aegypti",19,1.59198778665515
"Rabat","Site_2",2024-01-01,"Morocco",2,2,75.77,24.11,16.92,81.7,3,"HumanOdor_CO2","Culex quinquefasciatus",14,1.59198778665515
"Rabat","Site_2",2024-01-01,"Morocco",2,2,75.77,24.11,16.92,81.7,3,"HumanOdor_CO2","Culex pipiens",14,1.59198778665515
"Rabat","Site_2",2024-01-01,"Morocco",2,2,75.77,24.11,16.92,81.7,3,"HumanOdor_CO2","Anopheles gambiae",22,1.59198778665515
