Country,City,Location/Site,Sampling_date,Trap_type,Green_level,Green_area_coverage,Blue_area_coverage,Temperature_2m,Relative_humidity,Wind_speed_10m,Mosquito_species,Mosquito_abundance,Biodiversity_index
Spain,Barcelona,8,2025-10-11,HumanOdor_CO2,3,66.88,15.38,25.15,60.67,7.52,Culex quinquefasciatus,28,0.74
Netherlands,Nijmegen,3,2025-04-14,HumanOdor_CO2,4,96.11,0.16,24.63,81.92,4.89,Aedes aegypti,39,1.53
Spain,Barcelona,8,2025-09-11,Light_CO2,3,66.88,15.38,25.34,85.87,4.31,Aedes aegypti,33,1.67
France,Montpellier,1,2025-09-11,HumanOdor_CO2,1,25.77,41.14,25.52,79.35,4.92,Aedes aegypti,8,1.62
Netherlands,Nijmegen,5,2025-04-14,HumanOdor_CO2,4,100.0,7.91,24.28,103.54,3.04,Aedes aegypti,51,0.53
Spain,Barcelona,3,2025-11-10,Light_CO2,4,94.45,16.13,24.13,85.72,6.13,Aedes albopictus,40,0.94
Spain,Barcelona,1,2026-01-09,HumanOdor_CO2,1,24.35,42.69,31.21,74.62,5.41,Anopheles gambiae,3,0.53
Spain,Barcelona,2,2025-10-11,Light_CO2,3,78.39,14.41,25.08,90.15,2.54,Anopheles gambiae,14,2.49
Netherlands,Nijmegen,7,2025-08-12,HumanOdor_CO2,2,43.07,39.13,32.48,94.22,4.07,Culex pipiens,4,1.07
Spain,Barcelona,9,2026-02-08,HumanOdor_CO2,1,22.5,47.58,25.16,68.11,7.04,Anopheles gambiae,4,2.29
Netherlands,Nijmegen,3,2025-05-14,Light_CO2,4,96.11,0.16,25.96,65.1,6.09,Culex quinquefasciatus,48,2.17
Spain,Barcelona,7,2025-09-11,HumanOdor_CO2,3,70.08,19.22,25.4,84.67,0.62,Culex pipiens,29,1.38
Netherlands,Utrecht,2,2025-10-11,Light_CO2,1,29.98,42.65,23.38,84.91,5.15,Culex pipiens,1,2.35
France,Montpellier,2,2025-07-13,HumanOdor_CO2,2,51.25,33.14,28.4,74.63,1.11,Culex quinquefasciatus,10,1.49
Netherlands,Nijmegen,1,2025-08-12,HumanOdor_CO2,4,100.0,0.0,22.21,84.93,0.04,Anopheles gambiae,34,1.92
Netherlands,Utrecht,3,2025-06-13,HumanOdor_CO2,3,81.2,25.86,21.53,89.15,0.27,Aedes albopictus,37,1.4
Netherlands,Utrecht,1,2025-08-12,Light_CO2,1,28.09,34.84,24.21,64.79,0.07,Culex quinquefasciatus,3,1.36
Spain,Barcelona,1,2025-07-13,Light_CO2,1,24.35,42.69,21.61,77.26,1.99,Culex pipiens,5,1.48
Spain,Barcelona,4,2025-12-10,HumanOdor_CO2,1,25.66,55.74,24.27,75.55,0.96,Aedes albopictus,7,0.53
Spain,Barcelona,6,2025-07-13,HumanOdor_CO2,4,97.72,18.77,23.17,80.88,3.53,Aedes albopictus,57,0.56
