"City","Site","Sampling_date","Country","Location.Site","Month","Season","Green_level","Green_area_coverage","Blue_area_coverage","Temperature","Relative_humidity","Wind_speed_10m","Trap_type","season_multiplier","Host_abundance","Predator_abundance","Mosquito_species","Mosquito_abundance","Biodiversity_index"
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",1,17.0693113282323,44.0360938943923,6.87,85.5,6.83,"HumanOdor_CO2",0.7,41,48,"Aedes albopictus",12,1.21876889986982
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",1,17.0693113282323,44.0360938943923,6.87,85.5,6.83,"HumanOdor_CO2",0.7,32,58,"Culex quinquefasciatus",6,1.21876889986982
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",1,17.0693113282323,44.0360938943923,6.87,85.5,6.83,"HumanOdor_CO2",0.7,29,59,"Aedes aegypti",25,1.21876889986982
"Utrecht","Site_1",2024-01-01,"Netherlands",1,1,"Winter",1,17.0693113282323,44.0360938943923,6.87,85.5,6.83,"HumanOdor_CO2",0.7,27,73,"Culex pipiens",7,1.21876889986982
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,42.9291540232953,27.9408559314907,3.96,72.92,6.91,"Light_CO2",0.7,31,62,"Culex pipiens",26,0.875561405445062
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,42.9291540232953,27.9408559314907,3.96,72.92,6.91,"Light_CO2",0.7,37,104,"Culex quinquefasciatus",5,0.875561405445062
"Nijmegen","Site_1",2024-01-01,"Netherlands",1,1,"Winter",2,42.9291540232953,27.9408559314907,3.96,72.92,6.91,"Light_CO2",0.7,44,61,"Anopheles gambiae",9,0.875561405445062
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",2,36.3797304977197,48.0552622303367,9.75,82.13,6.98,"Light_CO2",0.7,35,78,"Aedes albopictus",2,0.362210537135449
"Montpellier","Site_1",2024-01-01,"France",1,1,"Winter",2,36.3797304977197,48.0552622303367,9.75,82.13,6.98,"Light_CO2",0.7,46,72,"Culex pipiens",15,0.362210537135449
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,71.1829595733434,13.887605831027,13.26,73.53,7.4,"Light_CO2",0.7,65,72,"Aedes albopictus",51,1.26845595361279
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,71.1829595733434,13.887605831027,13.26,73.53,7.4,"Light_CO2",0.7,44,88,"Culex quinquefasciatus",6,1.26845595361279
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,71.1829595733434,13.887605831027,13.26,73.53,7.4,"Light_CO2",0.7,60,82,"Culex pipiens",7,1.26845595361279
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,71.1829595733434,13.887605831027,13.26,73.53,7.4,"Light_CO2",0.7,53,75,"Anopheles gambiae",20,1.26845595361279
"Barcelona","Site_1",2024-01-01,"Spain",1,1,"Winter",3,71.1829595733434,13.887605831027,13.26,73.53,7.4,"Light_CO2",0.7,38,86,"Aedes aegypti",66,1.26845595361279
"Rabat","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,23.5071973316371,5.01849278062582,13.52,76.49,5.23,"HumanOdor_CO2",0.7,25,62,"Culex quinquefasciatus",1,0.827738126998921
"Rabat","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,23.5071973316371,5.01849278062582,13.52,76.49,5.23,"HumanOdor_CO2",0.7,35,43,"Aedes albopictus",6,0.827738126998921
"Rabat","Site_1",2024-01-01,"Morocco",1,1,"Winter",1,23.5071973316371,5.01849278062582,13.52,76.49,5.23,"HumanOdor_CO2",0.7,47,70,"Culex pipiens",11,0.827738126998921
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,"Winter",2,37.9709146625828,12.1052841879427,15.61,73.32,6.14,"Light_CO2",0.7,53,57,"Culex pipiens",15,0.682908084700472
"Casablanca","Site_1",2024-01-01,"Morocco",1,1,"Winter",2,37.9709146625828,12.1052841879427,15.61,73.32,6.14,"Light_CO2",0.7,39,70,"Aedes albopictus",20,0.682908084700472
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,45.7518928917125,10.4069839268923,5.2,70.87,4.54,"Light_CO2",0.7,33,64,"Culex pipiens",1,1.37081828514871
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,45.7518928917125,10.4069839268923,5.2,70.87,4.54,"Light_CO2",0.7,48,66,"Aedes albopictus",12,1.37081828514871
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,45.7518928917125,10.4069839268923,5.2,70.87,4.54,"Light_CO2",0.7,39,57,"Culex quinquefasciatus",31,1.37081828514871
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,45.7518928917125,10.4069839268923,5.2,70.87,4.54,"Light_CO2",0.7,42,71,"Anopheles gambiae",16,1.37081828514871
"Utrecht","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,45.7518928917125,10.4069839268923,5.2,70.87,4.54,"Light_CO2",0.7,44,70,"Aedes aegypti",25,1.37081828514871
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,39.4888702081516,24.7474025338888,6.61,76.38,4.51,"HumanOdor_CO2",0.7,40,50,"Culex quinquefasciatus",3,0.193738460908935
"Nijmegen","Site_2",2024-01-01,"Netherlands",2,1,"Winter",2,39.4888702081516,24.7474025338888,6.61,76.38,4.51,"HumanOdor_CO2",0.7,44,67,"Culex pipiens",59,0.193738460908935
"Montpellier","Site_2",2024-01-01,"France",2,1,"Winter",1,24.4104961259291,37.8402284756303,11.01,76.75,3.09,"Light_CO2",0.7,38,70,"Culex pipiens",10,1.25404186173345
"Montpellier","Site_2",2024-01-01,"France",2,1,"Winter",1,24.4104961259291,37.8402284756303,11.01,76.75,3.09,"Light_CO2",0.7,33,58,"Aedes albopictus",6,1.25404186173345
"Montpellier","Site_2",2024-01-01,"France",2,1,"Winter",1,24.4104961259291,37.8402284756303,11.01,76.75,3.09,"Light_CO2",0.7,34,58,"Aedes aegypti",2,1.25404186173345
